Techstack,Links
Python,https://github.com/username/python-project
JavaScript,https://github.com/username/javascript-project
React,https://github.com/username/react-project
Django,https://github.com/username/django-project
Machine Learning,https://github.com/username/ml-project
Data Analysis,https://github.com/username/data-analysis-project
HTML/CSS,https://github.com/username/html-css-project
AWS,https://github.com/username/aws-project
Docker,https://github.com/username/docker-project
SQL,https://github.com/username/sql-project
Node.js,https://github.com/username/nodejs-project
Flask,https://github.com/username/flask-project
TensorFlow,https://github.com/username/tensorflow-project
Keras,https://github.com/username/keras-project
NLP,https://github.com/username/nlp-project
Computer Vision,https://github.com/username/computer-vision-project
Git,https://github.com/username/git-project
REST API,https://github.com/username/rest-api-project
GraphQL,https://github.com/username/graphql-project
Bootstrap,https://github.com/username/bootstrap-project
Tailwind CSS,https://github.com/username/tailwindcss-project
Angular,https://github.com/username/angular-project
Vue.js,https://github.com/username/vuejs-project
Linux,https://github.com/username/linux-project
CI/CD,https://github.com/username/cicd-project
Terraform,https://github.com/username/terraform-project
Kubernetes,https://github.com/username/kubernetes-project
Azure,https://github.com/username/azure-project
GCP,https://github.com/username/gcp-project
Big Data,https://github.com/username/big-data-project
Hadoop,https://github.com/username/hadoop-project
Spark,https://github.com/username/spark-project
Power BI,https://github.com/username/powerbi-project
Tableau,https://github.com/username/tableau-project
